單字,字義,詞性,分類,重要性
Defend,防禦,動詞,多益,2
Defy,反抗,動詞,多益,3
Delegate,委派,動詞,多益,2
Deliberate,深思熟慮的,形容詞,多益,3
Delicately,精緻地/微妙地,副詞,多益,2
Denote,表示,動詞,多益,3
Deep,深的,形容詞,雅思,2
Direct,直接的,形容詞,多益,2
Dairy,乳製品,名詞,多益,3
Diverse,多樣的,形容詞,托福,3
Dynamic,動態的,形容詞,雅思,2
Due,到期的,形容詞,多益,2
Deeply,深深地,副詞,雅思,2
Definitely,肯定地,副詞,多益,2
Directly,直接地,副詞,雅思,2
Dramatically,戲劇性地,副詞,托福,3
Daily,每日地,副詞,多益,2
Economy,經濟,名詞,托福,3
Emerge,浮現,動詞,多益,2
Enlighten,啟發,動詞,多益,2
Exquisite,精緻的,形容詞,多益,3
Education,教育,名詞,雅思,2
Effect,效果,名詞,托福,3
Efficiency,效率,名詞,多益,2
Environment,環境,名詞,雅思,2
Earn,賺取,動詞,多益,2
Edit,編輯,動詞,雅思,2
Eliminate,消除,動詞,托福,3
Earnest,誠摯的,形容詞,多益,2
Eccentric,古怪的,形容詞,多益,3
Echo,回音,名詞,多益,2
Eclectic,兼容並蓄的,形容詞,多益,3
Economize,節省,動詞,多益,2
Effectively,有效地,副詞,多益,2
Efficient,效率高的,形容詞,多益,1
Elaborate,精心製作的,形容詞,多益,3
Elapse,流逝,動詞,多益,2
Elderly,年長的,形容詞,多益,2
Elevate,提升,動詞,多益,2
Elicit,引出,動詞,多益,3
Eligible,合格的,形容詞,多益,2
Eloquently,雄辯地,副詞,多益,2
Embrace,擁抱/欣然接受,動詞,多益,2
Emission,排放,名詞,多益,2
Emphasize,強調,動詞,多益,2
Empower,授權,動詞,多益,3
Enhance,提高,動詞,雅思,2
Effective,有效的,形容詞,多益,2
Electronic,電子的,形容詞,多益,2
Equal,平等的,形容詞,雅思,2
Essential,基本的,形容詞,托福,3
Easily,容易地,副詞,多益,2
Especially,尤其,副詞,雅思,2
Eventually,最終,副詞,托福,3
Exactly,確切地,副詞,多益,2
Efficiently,高效地,副詞,雅思,2
Factor,因素,名詞,托福,3
Feature,特徵,名詞,雅思,2
Finance,財務,名詞,多益,2
Function,功能,名詞,托福,3
Freedom,自由,名詞,雅思,2
Facilitate,促進,動詞,托福,3
Fathom,理解,動詞,多益,2
Flawless,無瑕的,形容詞,多益,3
Focus,集中,動詞,多益,2
Fade,逐漸消失,動詞,多益,2
Faint,微弱的,形容詞,多益,2
Faithful,忠實的,形容詞,多益,1
Falter,猶豫/蹣跚,動詞,多益,3
Familiarize,使熟悉,動詞,多益,2
Fancy,花俏的,形容詞,多益,2
Farewell,告別,名詞,多益,2
Fascinate,使著迷,動詞,多益,2
Fatal,致命的,形容詞,多益,3
Fatigue,疲勞,名詞,多益,2
Favorably,有利地,副詞,多益,2
Feast,盛宴,名詞,多益,1
Feeble,虛弱的,形容詞,多益,2
Feedback,回饋,名詞,多益,2
Ferocious,兇猛的,形容詞,多益,3
Fertilize,施肥,動詞,多益,2
Fiercely,激烈地,副詞,多益,2
Forecast,預測,動詞,多益,2
Formulate,制定,動詞,托福,3
Fund,資助,動詞,多益,2
Familiar,熟悉的,形容詞,雅思,2
Flexible,靈活的,形容詞,雅思,2
Formal,正式的,形容詞,多益,2
Frequent,頻繁的,形容詞,托福,3
Fundamental,基本的,形容詞,托福,3
Fully,完全地,副詞,多益,2
Frequently,頻繁地,副詞,托福,3
Furthermore,此外,副詞,雅思,2
Finally,最後地,副詞,多益,2
Fundamentally,根本地,副詞,托福,3
Goal,目標,名詞,多益,2
Growth,成長,名詞,雅思,2
Guidance,指導,名詞,雅思,2
Guarantee,保證,名詞,多益,2
Generation,一代,名詞,托福,3
Generate,產生,動詞,托福,3
Gauge,測量/評估,動詞,多益,3
Generalize,歸納,動詞,多益,2
Generosity,慷慨,名詞,多益,2
Genius,天才,名詞,多益,1
Glisten,閃耀,動詞,多益,2
Grateful,感激的,形容詞,多益,2
Gallant,英勇的,形容詞,多益,3
Genuine,真誠的,形容詞,多益,2
Gesture,手勢,名詞,多益,1
Gigantic,巨大的,形容詞,多益,3
Glamorous,迷人的,形容詞,多益,2
Glimpse,瞥見,動詞,多益,2
Globalize,全球化,動詞,多益,2
Glorify,讚美,動詞,多益,3
Gorgeous,華麗的,形容詞,多益,2
Gradually,逐漸地,副詞,多益,2
Grant,授予,動詞,多益,2
Gratify,使滿足,動詞,多益,3
Gratitude,感激,名詞,多益,2
Gregarious,好社交的,形容詞,多益,3
Grievance,委屈,名詞,多益,3
Grumble,抱怨,動詞,多益,2
Gather,收集,動詞,雅思,2
Guide,引導,動詞,雅思,2
General,一般的,形容詞,雅思,2
Global,全球的,形容詞,托福,3
Gradual,逐漸的,形容詞,雅思,2
Great,偉大的,形容詞,多益,2
Gross,總共的,形容詞,多益,2
Generally,通常,副詞,雅思,2
Greatly,非常,副詞,多益,2
Genuinely,真誠地,副詞,托福,3
Globally,全球地,副詞,托福,3
Habit,習慣,名詞,雅思,2
Heritage,遺產,名詞,托福,3
Hypothesis,假設,名詞,托福,3
Harmony,和諧,名詞,雅思,2
Habitat,棲息地,名詞,多益,2
Hail,歡呼/冰雹,動詞,多益,2
Halfhearted,不熱心的,形容詞,多益,2
Hallmark,特點/品質證明,名詞,多益,3
Halt,停止,動詞,多益,2
Hamper,阻礙,動詞,多益,3
Handy,便利的,形容詞,多益,1
Harass,騷擾,動詞,多益,3
Harmonize,協調,動詞,多益,2
Humble,謙遜的,形容詞,多益,2
Hasty,匆忙的,形容詞,多益,1
Harsh,嚴酷的,形容詞,多益,2
Hasten,加速,動詞,多益,2
Hazard,危險,名詞,多益,2
Heed,注意,動詞,多益,2
Hefty,沈重的,形容詞,多益,2
Henceforth,從今以後,副詞,多益,3
Herald,預示/公告,動詞,多益,3
Hibernate,冬眠,動詞,多益,2
Hierarchy,階級制度,名詞,多益,3
Highlight,強調,動詞,多益,2
Hinder,阻礙,動詞,多益,2
Humanity,人類,名詞,托福,3
Handle,處理,動詞,多益,2
Hire,雇用,動詞,多益,2
Hypothesize,假設,動詞,托福,3
Healthy,健康的,形容詞,雅思,2
Heavy,重的,形容詞,雅思,2
Historical,歷史的,形容詞,托福,3
Huge,巨大的,形容詞,多益,2
Harmful,有害的,形容詞,托福,3
Highly,高度地,副詞,多益,2
Honestly,誠實地,副詞,雅思,2
Hopefully,有希望地,副詞,雅思,2
Hardly,幾乎不,副詞,托福,3
Heavily,沉重地,副詞,雅思,2
Idea,想法,名詞,雅思,2
Impact,影響,名詞,托福,3
Income,收入,名詞,多益,2
Industry,行業,名詞,多益,2
Investment,投資,名詞,多益,2
Identify,識別,動詞,托福,3
Implement,實施,動詞,多益,2
Improve,改善,動詞,多益,2
Ideal,理想的,形容詞,多益,2
Idle,閒置的/懶惰的,形容詞,多益,2
Illuminate,照亮/闡明,動詞,多益,3
Illustrate,說明,動詞,多益,2
Image,形象,名詞,多益,1
Imminent,迫近的,形容詞,多益,3
Impart,傳授,動詞,多益,2
Inventive,創造性的,形容詞,多益,3
Immune,免疫的,形容詞,多益,2
Impede,阻礙,動詞,多益,3
Impetus,動力,名詞,多益,2
Implicit,含蓄的,形容詞,多益,3
Importantly,重要地,副詞,多益,2
Impose,強加,動詞,多益,2
Impress,使印象深刻,動詞,多益,2
Improvise,即興發揮,動詞,多益,3
Inadequate,不足的,形容詞,多益,2
Incentive,獎勵,名詞,多益,2
Influence,影響,動詞,雅思,2
Integrate,整合,動詞,托福,3
Important,重要的,形容詞,多益,2
Independent,獨立的,形容詞,托福,3
Initial,初始的,形容詞,雅思,2
Innovative,創新的,形容詞,雅思,2
Intellectual,智力的,形容詞,托福,3
Immediately,立即地,副詞,多益,2
Indeed,的確,副詞,雅思,2
Independently,獨立地,副詞,托福,3
Initially,最初,副詞,托福,3
Intensively,強烈地,副詞,托福,3
Jeopardize,危及,動詞,多益,3
Jettison,丟棄,動詞,多益,3
Jingle,叮噹聲,名詞,多益,2
Jockey,駕馭/謀取,動詞,多益,2
Joint,聯合的/關節,形容詞/名詞,多益,2
Jovial,愉快的,形容詞,多益,2
Jubilant,歡騰的,形容詞,多益,3
Judge,判斷,動詞,多益,2
Judgment,判斷,名詞,多益,2
Juicy,多汁的,形容詞,多益,1
Jumble,混雜,動詞,多益,3
Junction,交叉路口,名詞,多益,2
Junior,資淺的/較年幼的,形容詞,多益,1
Justify,證明…有理,動詞,多益,2
Justification,正當理由,名詞,多益,2
Juggle,玩雜耍,動詞,多益,2
Justified,正當的,形容詞,多益,3
Jostle,推擠,動詞,多益,2
Jest,玩笑,名詞,多益,2
Jealous,嫉妒的,形容詞,多益,2
Jolt,顛簸/震驚,動詞,多益,3
Journal,日記/期刊,名詞,多益,2
Job,工作,名詞,多益,2
Journey,旅程,名詞,雅思,2
Justice,正義,名詞,托福,3
Journalist,記者,名詞,雅思,2
Join,加入,動詞,多益,2
Jump,跳躍,動詞,多益,2
Judicial,司法的,形容詞,托福,3
Just,公正的,形容詞,雅思,2
Joyful,快樂的,形容詞,雅思,2
Justly,公正地,副詞,托福,3
Jointly,共同地,副詞,托福,3
Joyfully,愉快地,副詞,雅思,2
Judiciously,明智地,副詞,托福,3
Jealously,嫉妒地,副詞,雅思,2
Knowledge,知識,名詞,托福,3
Key,關鍵,名詞,多益,2
Kitchen,廚房,名詞,雅思,2
Kindness,善良,名詞,雅思,2
Kingdom,王國,名詞,托福,3
Keep,保持,動詞,多益,2
Keen,敏銳的/熱切的,形容詞,多益,2
Kindle,點燃/激發,動詞,多益,2
Kindred,同類的,形容詞,多益,3
Knack,訣竅,名詞,多益,2
Kinetic,運動的,形容詞,多益,3
Knead,揉捏,動詞,多益,2
Kneel,跪下,動詞,多益,1
Knight,騎士,名詞,多益,2
Knot,結/難題,名詞,多益,2
Knowledgeable,博學的,形容詞,多益,2
Knuckle,指關節,名詞,多益,1
Kayak,獨木舟,名詞,多益,1
Kickstart,啟動/促進,動詞,多益,2
Kindhearted,仁慈的,形容詞,多益,1
Kink,瑕疵/扭結,名詞,多益,2
Kiosk,小攤/亭,名詞,多益,2
Kudos,榮譽/稱讚,名詞,多益,2
Keenly,敏銳地/熱切地,副詞,多益,2
Kernel,核心/穀粒,名詞,多益,3
Kidnap,綁架,動詞,多益,3
Know,知道,動詞,雅思,2
Kick,踢,動詞,雅思,2
Knock,敲擊,動詞,多益,2
Knit,編織,動詞,托福,3
Kind,善良的,形容詞,雅思,2
Known,已知的,形容詞,托福,3
Kindly,親切地,副詞,雅思,2
Knowingly,故意地,副詞,托福,3
Kindheartedly,善良地,副詞,雅思,2
Knockout,徹底地,副詞,托福,3
Labor,勞動,名詞,托福,3
Language,語言,名詞,雅思,2
Landscape,風景,名詞,雅思,2
Library,圖書館,名詞,雅思,2
Limit,限制,名詞,多益,2
Learn,學習,動詞,多益,2
Lead,領導,動詞,多益,2
Listen,聽,動詞,雅思,2
Label,標籤,名詞,多益,1
Lament,哀悼,動詞,多益,3
Languish,衰弱,動詞,多益,3
Lapse,流逝/過失,名詞,多益,3
Launch,發起/發射,動詞,多益,2
Lavish,奢華的,形容詞,多益,2
Lawyer,律師,名詞,多益,1
League,聯盟,名詞,多益,1
Lean,倚靠/精瘦的,動詞/形容詞,多益,2
Leap,跳躍,動詞,多益,1
Lease,租約/租借,名詞/動詞,多益,2
Linger,徘徊,動詞,多益,2
Lucid,清晰的,形容詞,多益,2
Loyal,忠誠的,形容詞,多益,3
Legacy,遺產,名詞,多益,2
Legitimate,合法的/合理的,形容詞,多益,2
Leisure,閒暇,名詞,多益,1
Lenient,寬容的,形容詞,多益,2
Lessen,減少,動詞,多益,2
Liability,責任,名詞,多益,2
Liberate,解放,動詞,多益,2
Locate,定位,動詞,托福,3
Large,大的,形容詞,多益,2
Legal,合法的,形容詞,雅思,2
Logical,邏輯的,形容詞,托福,3
Local,當地的,形容詞,雅思,2
Likely,可能的,形容詞,多益,2
Largely,主要地,副詞,托福,3
Literally,字面上地,副詞,托福,3
Locally,本地地,副詞,雅思,2
Loudly,大聲地,副詞,雅思,2
Market,市場,名詞,多益,2
Material,材料,名詞,托福,3
Management,管理,名詞,多益,2
Method,方法,名詞,雅思,2
Mission,任務,名詞,托福,3
Magnify,放大,動詞,多益,2
Maintain,維持/保養,動詞,多益,2
Major,主要的/主修,形容詞/動詞,多益,1
Makeover,改造,名詞,多益,2
Malfunction,故障,名詞,多益,2
Manageable,可管理的,形容詞,多益,1
Mandatory,強制的,形容詞,多益,3
Manifest,顯示/表明,動詞,多益,2
Manipulate,操縱,動詞,多益,3
Marvel,奇蹟,名詞,多益,2
Meticulous,一絲不苟的,形容詞,多益,3
Manuscript,手稿,名詞,多益,2
Marginal,邊緣的/微小的,形容詞,多益,2
Marketable,可銷售的,形容詞,多益,2
Massive,巨大的,形容詞,多益,2
Mastery,精通,名詞,多益,2
Mature,成熟的,形容詞,多益,1
Meaningful,有意義的,形容詞,多益,1
Mediate,調解,動詞,多益,3
Meddle,干涉,動詞,多益,3
Memorize,記住,動詞,多益,1
Manage,管理,動詞,多益,2
Measure,測量,動詞,托福,3
Modify,修改,動詞,托福,3
Monitor,監控,動詞,多益,2
Modern,現代的,形容詞,雅思,2
Mental,精神的,形容詞,雅思,2
Medical,醫療的,形容詞,多益,2
Mobile,移動的,形容詞,托福,3
Mostly,主要地,副詞,雅思,2
Moreover,此外,副詞,托福,3
Meanwhile,同時,副詞,多益,2
Merely,僅僅,副詞,托福,3
Mutually,互相地,副詞,托福,3
Network,網絡,名詞,多益,2
Nature,自然,名詞,雅思,2
Need,需要,名詞,多益,2
Notice,通知,名詞,多益,2
Novel,小說,名詞,托福,3
Negotiate,談判,動詞,多益,2
Nurture,培養,動詞,托福,3
Navigate,導航/應對,動詞,多益,2
Necessitate,使成為必需,動詞,多益,3
Negate,使無效,動詞,多益,3
Neglect,忽視,動詞,多益,2
Neighboring,鄰近的,形容詞,多益,1
Neutral,中立的,形容詞,多益,2
Niche,利基/合適的定位,名詞,多益,2
Noble,高貴的,形容詞,多益,1
Nimble,敏捷的,形容詞,多益,3
Noisy,吵鬧的,形容詞,多益,1
Nominate,提名,動詞,多益,2
Notable,值得注意的,形容詞,多益,1
Notably,顯著地,副詞,多益,1
Notify,通知,動詞,多益,1
Novice,新手,名詞,多益,1
Nudge,輕推,動詞,多益,2
Nullify,使無效,動詞,多益,3
Numerate,有計算能力的,形容詞,多益,2
Nurse,護士/照顧,名詞/動詞,多益,1
Natural,自然的,形容詞,雅思,2
Necessary,必要的,形容詞,多益,2
Normal,正常的,形容詞,多益,2
Numerous,眾多的,形容詞,托福,3
Naturally,自然地,副詞,雅思,2
Nearly,幾乎,副詞,多益,2
Nevertheless,然而,副詞,托福,3
Nowhere,無處,副詞,雅思,2
Opportunity,機會,名詞,多益,2
Option,選項,名詞,多益,2
Organization,組織,名詞,托福,3
Outcome,結果,名詞,托福,3
Objective,目標,名詞,雅思,2
Observe,觀察,動詞,托福,3
Obtain,獲得,動詞,托福,3
Offer,提供,動詞,多益,2
Operate,操作,動詞,多益,2
Organize,組織,動詞,雅思,2
Official,官方的,形容詞,雅思,2
Optimal,最佳的,形容詞,托福,3
Ordinary,普通的,形容詞,雅思,2
Overall,整體的,形容詞,雅思,2
Obedient,順從的,形容詞,多益,1
Obfuscate,使困惑,動詞,多益,3
Obligatory,必須的/義務的,形容詞,多益,3
Oblige,迫使/施恩惠,動詞,多益,2
Obscure,使模糊/鮮為人知的,動詞/形容詞,多益,3
Obsess,使著迷,動詞,多益,2
Obstacle,障礙,名詞,多益,2
Obvious,明顯的,形容詞,多益,1
Occasionally,偶爾地,副詞,多益,1
Occupy,佔領/使忙碌,動詞,多益,2
Optimistic,樂觀的,形容詞,多益,2
Occur,發生,動詞,多益,1
Odor,氣味,名詞,多益,1
Offend,冒犯,動詞,多益,1
Omission,省略/遺漏,名詞,多益,2
Omit,省略,動詞,多益,1
Ongoing,持續的,形容詞,多益,1
Onset,開始/發作,名詞,多益,2
Original,原始的,形容詞,托福,3
Obviously,顯然地,副詞,多益,2
Officially,正式地,副詞,雅思,2
Otherwise,否則,副詞,托福,3
Overseas,海外,副詞,雅思,2
Product,產品,名詞,多益,2
Process,過程,名詞,多益,2
Pace,步調,名詞,多益,1
Pacify,安撫,動詞,多益,3
Palatable,可口的/令人愉悅的,形容詞,多益,2
Pandemic,大範圍流行/流行病,名詞/形容詞,多益,3
Paradox,矛盾,名詞,多益,2
Parallel,平行的/類似的,形容詞,多益,2
Parameter,參數,名詞,多益,2
Participate,參加,動詞,多益,1
Particle,顆粒,名詞,多益,2
Partition,分割,動詞/名詞,多益,2
Passionate,熱情的,形容詞,多益,1
Passive,被動的,形容詞,多益,1
Patent,專利,名詞,多益,2
Pave,鋪路,動詞,多益,2
Peak,高峰,名詞,多益,1
Peculiar,獨特的/奇怪的,形容詞,多益,2
Perceive,察覺,動詞,多益,2
Permanent,永久的,形容詞,多益,1
Persist,堅持,動詞,多益,2
Persuade,說服,動詞,多益,1
Policy,政策,名詞,托福,3
Persevere,堅持,動詞,多益,2
Ponder,仔細考慮,動詞,多益,2
Proactive,積極的,形容詞,多益,3
Principle,原則,名詞,托福,3
Performance,表現,名詞,多益,2
Perform,執行,動詞,多益,2
Predict,預測,動詞,托福,3
Promote,促進,動詞,多益,2
Provide,提供,動詞,多益,2
Possible,可能的,形容詞,多益,2
Positive,積極的,形容詞,雅思,2
Practical,實際的,形容詞,雅思,2
Previous,先前的,形容詞,托福,3
Primary,主要的,形容詞,托福,3
Particularly,特別地,副詞,雅思,2
Perhaps,也許,副詞,多益,2
Properly,適當地,副詞,多益,2
Precisely,精確地,副詞,托福,3
Primarily,主要地,副詞,托福,3
Quality,品質,名詞,多益,2
Quake,顫抖/地震,動詞/名詞,多益,2
Qualification,資格,名詞,多益,2
Qualify,取得資格,動詞,多益,2
Quantify,量化,動詞,多益,2
Quarantine,隔離,名詞/動詞,多益,2
Quarry,採石場/獵物,名詞,多益,3
Quench,解渴/熄滅,動詞,多益,2
Query,詢問/疑問,名詞/動詞,多益,2
Quest,探索,名詞/動詞,多益,2
Quibble,吹毛求疵,動詞,多益,3
Quick,快速的,形容詞,多益,1
Quickly,迅速地,副詞,多益,1
Quiescent,靜止的,形容詞,多益,3
Quiet,安靜的,形容詞,多益,1
Quit,放棄/退出,動詞,多益,1
Quiver,顫抖,動詞,多益,2
Quote,引用,動詞,多益,1
Quota,配額,名詞,多益,2
Quotient,商數,名詞,多益,2
Quarrel,爭吵,動詞/名詞,多益,2
Quantity,數量,名詞,托福,3
Question,問題,名詞,多益,2
Quarter,季度,名詞,多益,2
Qualified,有資格的,形容詞,多益,2
Quantitative,定量的,形容詞,托福,3
Questionable,可疑的,形容詞,托福,3
Quietly,安靜地,副詞,雅思,2
Quite,相當,副詞,雅思,2
Quarterly,按季度地,副詞,多益,2
Quickened,加速的,形容詞,多益,2
Questionably,可疑地,副詞,托福,3
Resource,資源,名詞,雅思,2
Research,研究,名詞,托福,3
Result,結果,名詞,多益,2
Revenue,收入,名詞,多益,2
Risk,風險,名詞,多益,2
Radiate,散發,動詞,多益,2
Radical,根本的/激進的,形容詞,多益,2
Rage,盛怒,名詞,多益,2
Random,隨機的,形容詞,多益,1
Range,範圍,名詞,多益,1
Ratify,正式批准,動詞,多益,3
Rationale,根本原因/原理,名詞,多益,3
Ravage,毀壞,動詞,多益,3
Reach,抵達,動詞,多益,1
Reaction,反應,名詞,多益,1
Realistic,實際的,形容詞,多益,1
Reassure,使安心,動詞,多益,2
Rebound,反彈,動詞,多益,2
Recall,回想/召回,動詞,多益,1
Receipt,收據,名詞,多益,1
Receiver,接收者,名詞,多益,1
Rejoice,欣喜,動詞,多益,2
Revive,復興,動詞,多益,2
Radiant,光輝的,形容詞,多益,3
Reclaim,收回/開墾,動詞,多益,2
Recognize,認出,動詞,多益,1
Reconcile,和解,動詞,多益,3
Recruit,招募,動詞,多益,2
Receive,收到,動詞,多益,2
Reduce,減少,動詞,多益,2
Reflect,反映,動詞,托福,3
Replace,替換,動詞,多益,2
Respond,回應,動詞,多益,2
Recent,最近的,形容詞,多益,2
Regular,定期的,形容詞,雅思,2
Relevant,相關的,形容詞,托福,3
Reliable,可靠的,形容詞,多益,2
Remote,遙遠的,形容詞,托福,3
Regularly,定期地,副詞,雅思,2
Respectively,分別地,副詞,托福,3
Rapidly,迅速地,副詞,多益,2
Rarely,很少地,副詞,雅思,2
Reasonably,合理地,副詞,雅思,2
Security,安全,名詞,多益,2
Strategy,策略,名詞,托福,3
Solution,解決方案,名詞,多益,2
Sustain,維持,動詞,多益,2
Simplify,簡化,動詞,多益,2
Serene,寧靜的,形容詞,多益,3
Sadden,使悲傷,動詞,多益,2
Sanction,批准/制裁,名詞/動詞,多益,3
Satellite,衛星,名詞,多益,1
Satisfy,滿足,動詞,多益,1
Savage,野蠻的/殘酷的,形容詞,多益,3
Scarcely,幾乎不,副詞,多益,2
Scenery,風景,名詞,多益,1
Schedule,時程/安排,名詞/動詞,多益,1
Scheme,計畫/方案,名詞,多益,2
Scrutinize,詳細檢查,動詞,多益,3
Seamless,無縫的,形容詞,多益,2
Sedentary,久坐的,形容詞,多益,2
Seize,抓住/奪取,動詞,多益,2
Selection,選擇,名詞,多益,1
Sensible,明智的,形容詞,多益,1
Separate,分開,動詞,多益,1
Sequential,連續的,形容詞,多益,2
Settle,解決/安頓,動詞,多益,2
Severity,嚴重性,名詞,多益,3
Shatter,粉碎,動詞,多益,2
Structure,結構,名詞,托福,3
System,系統,名詞,多益,2
Support,支持,動詞,多益,2
Suggest,建議,動詞,雅思,2
Supply,供應,動詞,多益,2
